Record_Type;VME_Type;VME_Group;VME_Indicator_Species;Latitude;Longitude
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-32.64617;16.89667
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.38817;16.1255
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.71647;16.7417
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.79868;16.57722
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.07537;16.08455
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.1535;16.8828
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.70369911;16.64900017
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-32.8325;17.1108
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.67933;16.3855
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-32.0785;16.49433
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.88573265;16.56938362
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-32.80178452;17.09625053
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.4220829;16.48886681
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.1243;15.9917
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.38685;15.47537
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.53573;16.20253
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.83365059;16.39261627
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.23218;16.48365
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.6218;16.2842
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.04967;16.926
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.4510498;15.30175018
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.36927;15.86995
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.15458;16.88317
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.91376686;16.7730999
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.80717;16.87817
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.62922;16.26833
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-30.31057;16.14182
VME_Indicator_Record;Rossella_VME_Indicator;Glass_sponge_grounds;Rossella_antarctica;-31.90307;16.79582
